Time,	Value of Carbon,		Value of Water,	Total Value,	Index
03/03/2025,	103114.991,	17839043.57,	17942158.57,	100
04/03/2025,	98593.929,	17657764.96,	17756358.89,	98.96445193
05/03/2025,	98469.724,	17497696.5,	17596166.23,	  98.07162367
06/03/2025,	96681.172,	17531620.35,	17628301.52,	98.25072862
07/03/2025,	97028.946,	18361607.24,	18458636.19,	102.8785702
10/03/2025,	97625.13,	18485085.08,	18582710.21,	  103.5700924
11/03/2025,	95637.85,	18159242.51,	18254880.36,	  101.7429441
12/03/2025,	102816.899,	17790669.53,	17893486.43,	99.72872756
13/03/2025,	109399.764,	18020260.17,	18129659.93,	101.0450324
14/03/2025,	110020.789,	18225663.79,	18335684.58,	102.1933036
17/03/2025,	108157.714,	18316272.08,	18424429.8,	  102.687922
18/03/2025,	113722.098,	18292147.08,	18405869.18,	102.5844751
19/03/2025,	115311.922,	17974987.03,	18090298.95,	100.8256553
20/03/2025,	115610.014,	17911542.62,	18027152.63,	100.4737115
21/03/2025,	114864.784,	17808840.81,	17923705.59,	99.89715299
24/03/2025,	114343.123,	17633639.96,	17747983.08,	98.91776966
25/03/2025,	116032.311,	17552086.29,	17668118.6,	  98.47264773
26/03/2025,	115113.194,	17814856.55,	17929969.75,	99.93206605
27/03/2025,	111734.818,	18008166.66,	18119901.48,	100.990644
